Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate	theta	population_size	
59950	-5812.612669152335	-5797.8351438227755	-14.77752532955921	0.6370308185062897	5.703582044379324	0.010092228896794056	0.010508827122275135	86773.25915597475	
60000	-5807.107127510817	-5791.174088129125	-15.93303938169155	0.45488195493674394	6.0904469709542255	0.00945386699456402	0.011139549395387187	98192.17717815397	
60050	-5805.645011761494	-5794.101253376845	-11.543758384648793	0.9319155550761825	4.594590974603461	0.010825640089037962	0.011272526092487823	86773.36089578649	
60100	-5804.501849557092	-5792.898301953452	-11.603547603640177	0.9189367240317247	4.6067817022345325	0.012910029122805878	0.011340231245900062	73200.39803955767	
60150	-5803.606594512968	-5791.649375647263	-11.957218865705	0.8680744368003578	4.774020740530117	0.01174297932939023	0.011116533487404606	78887.79879723708	
60200	-5804.377558742809	-5792.522540443763	-11.855018299045707	0.5139709743200616	4.774020740530117	0.010698044214561839	0.011116533487404606	86593.19143176603	
60250	-5803.5290584772565	-5792.269260173441	-11.259798303816	0.8679321677535186	4.560287276339229	0.011845453074595643	0.011116533487404606	78205.34890335322	
60300	-5804.1998327153315	-5792.972638189975	-11.227194525355767	0.8413811795155476	4.48976492978054	0.01188446593989464	0.011292175666731219	79180.2209416413	
60350	-5804.884286278895	-5793.325935509535	-11.558350769360173	0.4907230473738089	4.424345913185255	0.01189141295447045	0.011344286922589828	79499.15179707516	
60400	-5803.987291828964	-5790.560789380236	-13.426502448727971	1.2244679924329702	4.565452974368781	0.01189141295447045	0.011695692463098921	81961.7519232793	
60450	-5803.015096299478	-5791.807292046421	-11.207804253056867	0.5338718361753868	4.3770913023665905	0.012066333618574189	0.010627654686397262	73397.43111112122	
60500	-5801.31451702197	-5790.871856522879	-10.44266049909	1.1307446655077962	3.7935437856409875	0.014244120447303023	0.01089745972103474	63754.139595997665	
60550	-5801.234733895308	-5791.391078000555	-9.843655894752112	0.7070003990006719	3.605635768933175	0.014244120447303023	0.01089745972103474	63754.139595997665	
60600	-5801.648919313773	-5791.783648301022	-9.865271012750512	1.0619725601025585	3.5992865850108187	0.014999738266516916	0.010986780148332735	61038.73254940895	
60650	-5801.036188919468	-5791.334020554022	-9.702168365446664	0.7612033477193316	3.794403843167644	0.01551771934650466	0.010986780148332735	59001.26119804395	
60700	-5800.094968596666	-5790.459786366033	-9.63518223063349	1.025743444618093	3.734475338633519	0.014386668845969654	0.010515260852062733	60908.59163115978	
60750	-5801.653811854021	-5791.084766794151	-10.569045059870684	1.3150972034229695	3.734475338633519	0.013679107617216362	0.0097882337757424	59630.07023586249	
60800	-5799.723661959505	-5790.274073550178	-9.449588409326974	0.9149104242886569	3.766916664963693	0.013952740215480167	0.01065593191947593	63643.005811703544	
60850	-5800.62203596304	-5790.476230401647	-10.145805561392725	1.2032158106901956	3.7893311160728373	0.01376067511706157	0.01065593191947593	64531.30526437534	
60900	-5803.421877128998	-5793.614007755058	-9.807869373939647	0.8911112778519266	4.319603834340583	0.01376067511706157	0.010501919237968308	63598.61918491678	
60950	-5804.160791372096	-5793.979883359573	-10.180908012523194	1.157726677093345	4.1786887556741945	0.012248531937652525	0.009250046664650029	62933.02952369186	
61000	-5806.239385011328	-5795.413004696462	-10.82638031486567	1.1241341505980604	4.427954614883946	0.01199746881147908	0.009250046664650029	64249.987573765415	
61050	-5804.345950131612	-5795.368930196359	-8.977019935253793	1.0828808057511605	3.7626710011108777	0.013659863354003775	0.009314396283818296	56823.38616445114	
61100	-5807.703399822418	-5797.46410381154	-10.239296010877819	1.0828808057511605	4.282951931354411	0.01303704856887495	0.010433556316965674	66691.70723882926	
61150	-5805.230630724317	-5795.507904995523	-9.722725728794464	0.7704157051826951	3.6011781076338325	0.01303704856887495	0.010433556316965674	66691.70723882926	
61200	-5805.176879697987	-5795.256825992015	-9.920053705971744	0.7268176468860299	3.7036151642524366	0.013822633221152694	0.011391781535624134	68678.31279180196	
61250	-5805.739259547727	-5795.8403966280175	-9.89886291970898	0.807168733434222	3.7817089688250443	0.013822633221152694	0.011391781535624134	68678.31279180196	
61300	-5807.99709332311	-5796.773786434566	-11.223306888543272	0.807168733434222	4.4043681276749655	0.014189781396706567	0.013760956399112135	80814.94242461244	
61350	-5811.536176040783	-5797.862666869774	-13.673509171008437	1.045052766890441	4.787922140153409	0.014147363798329093	0.014055540799451505	82792.46107739855	
61400	-5809.267940534822	-5796.533784667072	-12.734155867750358	0.8719586134805724	4.787922140153409	0.014025492575191647	0.013977426860121182	83047.74790847937	
61450	-5805.330232749229	-5794.40790137162	-10.922331377609579	0.602098883848328	4.233296838612869	0.014791067108547034	0.013431917783510796	75675.84365244539	
61500	-5804.885050573996	-5792.888265090406	-11.996785483589695	0.8507249292967042	4.6694237628293145	0.012775757143595691	0.013151303422708678	85782.93556885357	
61550	-5808.662988321862	-5794.443755157989	-14.21923316387348	0.6231837404985376	5.4938789235577845	0.010457238993123435	0.013151303422708678	104802.22863922965	
61600	-5807.053226185726	-5792.906372257082	-14.14685392864422	0.4500341991010884	5.388646034015464	0.010457238993123435	0.01266730317917175	100945.24940650865	
61650	-5806.1727621743485	-5794.800990535989	-11.371771638359466	0.7096455771236744	4.563946587736805	0.012956363113867556	0.013527938293018201	87009.61691002928	
61700	-5804.539752540769	-5792.568055209579	-11.971697331190082	0.6418068321597004	4.787789503282644	0.012956363113867556	0.013527938293018201	87009.61691002928	
61750	-5804.584720896807	-5792.60873231789	-11.97598857891709	0.5235460648828305	4.707380759731175	0.012140655686195687	0.012966178804922209	88999.71536453042	
61800	-5805.597529282013	-5793.719343155162	-11.878186126851045	0.5277510375831287	4.646286738932595	0.012503680198707137	0.012966178804922209	86415.74986234114	
61850	-5811.440104929894	-5795.302070643728	-16.138034286165553	0.3634931048887713	5.8514478852806455	0.010367197908725338	0.013960409495838133	112216.19074208921	
61900	-5807.873903226217	-5794.101860163867	-13.772043062350397	0.6199429307522797	5.331399712067707	0.012757984950181796	0.014168537600233245	92546.86153782296	
61950	-5814.209898526934	-5799.8495254955305	-14.360373031403604	0.8162920046391364	5.331399712067707	0.013580809185054133	0.014463607145370573	88750.27835410555	
62000	-5808.68607414552	-5797.806049674697	-10.880024470823702	1.0256049471894246	3.911586425551905	0.016696125151111407	0.013983016780713257	69791.72639438465	
62050	-5805.47082324518	-5795.186542289351	-10.28428095582931	0.7408277056814633	3.8338569921467784	0.015061465839613654	0.012464107064732404	68962.45025473188	
62100	-5802.420230737497	-5792.546717644162	-9.873513093335895	0.6984684991926328	3.6888980562771656	0.016041616015730672	0.012126490774878982	62994.95617621247	
62150	-5803.891480929243	-5793.392763117057	-10.498717812185092	0.5629467562585875	3.6888980562771656	0.016296259711639578	0.012222165694757923	62499.85124924228	
62200	-5802.626972073169	-5792.6509660061665	-9.976006067002762	0.6904889454398243	3.8902460379886135	0.016296259711639578	0.013314536689562987	68085.85183124924	
62250	-5800.563215071802	-5790.804418946463	-9.758796125339043	0.7748981711861658	3.656714649013521	0.01825871196751383	0.012890297378366155	58831.720994799456	
62300	-5804.713324178058	-5791.4870182917775	-13.226305886280592	1.6047179555260864	3.9701790629099265	0.016800110744358623	0.012825110267719072	63616.199038180275	
62350	-5802.93551122041	-5791.590601449808	-11.344909770602106	0.4728232919272584	3.9745858295837726	0.016800110744358623	0.012825110267719072	63616.199038180275	
62400	-5804.459344862689	-5792.769229188991	-11.690115673698772	1.3002302068489497	4.142470174884902	0.016462700175276308	0.012825110267719072	64920.04213146349	
62450	-5805.399256096941	-5791.964714596491	-13.434541500449727	1.625679788163135	4.080242939286031	0.016052913581575987	0.013440248773385892	69770.55756413868	
62500	-5804.984705458038	-5794.263877489052	-10.720827968985953	1.0054337241307747	4.196344991740743	0.016969502671009568	0.013961015258930433	68559.34206202564	
62550	-5808.511058357689	-5795.929025215665	-12.582033142023361	0.9428831130428531	4.840574303329265	0.01484704260080195	0.013163087602384136	73881.64743368456	
62600	-5812.664864709261	-5799.3473632235755	-13.317501485684772	0.48912379521195587	5.20055143229684	0.014514148114359946	0.01285594510064824	73812.72052249534	
62650	-5804.7196521031565	-5791.932144765805	-12.78750733735204	0.6707393906180567	5.20055143229684	0.012805278644536696	0.012780344851777049	83171.07086947118	
62700	-5804.580105841488	-5792.531484519531	-12.048621321957604	0.6527648168507068	4.988437468042947	0.01192730650667379	0.012780344851777049	89293.31505417108	
62750	-5801.644532611982	-5790.587708197707	-11.05682441427502	0.6527648168507068	4.6210694875308445	0.012640492928626797	0.01134896292457091	74818.83149027248	
62800	-5802.721941334952	-5791.640147023088	-11.081794311864194	0.7135292608266242	4.6210694875308445	0.012600191621285723	0.011439980690546157	75660.09731167102	
